location,date,vaccine,total_vaccinations
Austria,5/7/2021,Johnson&Johnson,6471
Austria,5/7/2021,Moderna,347859
Austria,5/7/2021,Oxford/AstraZeneca,762421
Austria,5/7/2021,Pfizer/BioNTech,2595558
Austria,5/14/2021,Johnson&Johnson,13457
Austria,5/14/2021,Moderna,397653
Austria,5/14/2021,Oxford/AstraZeneca,826545
Austria,5/14/2021,Pfizer/BioNTech,2894545
Austria,5/21/2021,Johnson&Johnson,25700
Austria,5/21/2021,Moderna,465527
Austria,5/21/2021,Oxford/AstraZeneca,904258
Austria,5/21/2021,Pfizer/BioNTech,3271610
Austria,5/28/2021,Johnson&Johnson,37840
Austria,5/28/2021,Moderna,519025
Austria,5/28/2021,Oxford/AstraZeneca,987058
Austria,5/28/2021,Pfizer/BioNTech,3606147
Austria,6/4/2021,Johnson&Johnson,57896
Austria,6/4/2021,Moderna,574266
Austria,6/4/2021,Oxford/AstraZeneca,1055580
Austria,6/4/2021,Pfizer/BioNTech,4030659
Austria,6/11/2021,Johnson&Johnson,79485
Austria,6/11/2021,Moderna,637079
Austria,6/11/2021,Oxford/AstraZeneca,1150832
Austria,6/11/2021,Pfizer/BioNTech,4468252
Austria,6/18/2021,Johnson&Johnson,94381
Austria,6/18/2021,Moderna,686605
Austria,6/18/2021,Oxford/AstraZeneca,1203180
Austria,6/18/2021,Pfizer/BioNTech,4921982
Austria,6/25/2021,Johnson&Johnson,102884
Austria,6/25/2021,Moderna,742227
Austria,6/25/2021,Oxford/AstraZeneca,1277007
Austria,6/25/2021,Pfizer/BioNTech,5365683
Austria,7/2/2021,Johnson&Johnson,128189
Austria,7/2/2021,Moderna,802123
Austria,7/2/2021,Oxford/AstraZeneca,1384706
Austria,7/2/2021,Pfizer/BioNTech,5755613
Austria,7/9/2021,Johnson&Johnson,152097
Austria,7/9/2021,Moderna,852301
Austria,7/9/2021,Oxford/AstraZeneca,1452403
Austria,7/9/2021,Pfizer/BioNTech,6081475
Austria,7/16/2021,Johnson&Johnson,171233
Austria,7/16/2021,Moderna,896595
Austria,7/16/2021,Oxford/AstraZeneca,1503967
Austria,7/16/2021,Pfizer/BioNTech,6352124
Austria,7/23/2021,Johnson&Johnson,187530
Austria,7/23/2021,Moderna,942856
Austria,7/23/2021,Oxford/AstraZeneca,1533667
Austria,7/23/2021,Pfizer/BioNTech,6598486
Austria,7/30/2021,Johnson&Johnson,199339
Austria,7/30/2021,Moderna,961523
Austria,7/30/2021,Oxford/AstraZeneca,1560123
Austria,7/30/2021,Pfizer/BioNTech,6806504
Austria,8/6/2021,Johnson&Johnson,214223
Austria,8/6/2021,Moderna,979134
Austria,8/6/2021,Oxford/AstraZeneca,1575534
Austria,8/6/2021,Pfizer/BioNTech,6981167
Austria,8/13/2021,Johnson&Johnson,224218
Austria,8/13/2021,Moderna,988382
Austria,8/13/2021,Oxford/AstraZeneca,1581338
Austria,8/13/2021,Pfizer/BioNTech,7102834
Austria,8/20/2021,Johnson&Johnson,230542
Austria,8/20/2021,Moderna,997272
Austria,8/20/2021,Oxford/AstraZeneca,1583364
Austria,8/20/2021,Pfizer/BioNTech,7163680
Belgium,1/8/2021,Johnson&Johnson,0
Belgium,1/8/2021,Moderna,0
Belgium,1/8/2021,Oxford/AstraZeneca,0
Belgium,1/8/2021,Pfizer/BioNTech,27935
Belgium,1/15/2021,Johnson&Johnson,0
Belgium,1/15/2021,Moderna,31
Belgium,1/15/2021,Oxford/AstraZeneca,0
Belgium,1/15/2021,Pfizer/BioNTech,126598
Belgium,1/22/2021,Johnson&Johnson,0
Belgium,1/22/2021,Moderna,4483
Belgium,1/22/2021,Oxford/AstraZeneca,0
Belgium,1/22/2021,Pfizer/BioNTech,244194
Belgium,1/29/2021,Johnson&Johnson,0
Belgium,1/29/2021,Moderna,6170
Belgium,1/29/2021,Oxford/AstraZeneca,0
Belgium,1/29/2021,Pfizer/BioNTech,333707
Belgium,2/5/2021,Johnson&Johnson,0
Belgium,2/5/2021,Moderna,15880
Belgium,2/5/2021,Oxford/AstraZeneca,0
Belgium,2/5/2021,Pfizer/BioNTech,462487
Belgium,2/12/2021,Johnson&Johnson,0
Belgium,2/12/2021,Moderna,25424
Belgium,2/12/2021,Oxford/AstraZeneca,344
Belgium,2/12/2021,Pfizer/BioNTech,597744
Belgium,2/19/2021,Johnson&Johnson,0
Belgium,2/19/2021,Moderna,30203
Belgium,2/19/2021,Oxford/AstraZeneca,10687
Belgium,2/19/2021,Pfizer/BioNTech,698198
Belgium,2/26/2021,Johnson&Johnson,0
Belgium,2/26/2021,Moderna,32651
Belgium,2/26/2021,Oxford/AstraZeneca,45147
Belgium,2/26/2021,Pfizer/BioNTech,786571
Belgium,3/5/2021,Johnson&Johnson,0
Belgium,3/5/2021,Moderna,51416
Belgium,3/5/2021,Oxford/AstraZeneca,109777
Belgium,3/5/2021,Pfizer/BioNTech,875290
Belgium,3/12/2021,Johnson&Johnson,0
Belgium,3/12/2021,Moderna,67275
Belgium,3/12/2021,Oxford/AstraZeneca,190742
Belgium,3/12/2021,Pfizer/BioNTech,971442
Belgium,3/19/2021,Johnson&Johnson,0
Belgium,3/19/2021,Moderna,89695
Belgium,3/19/2021,Oxford/AstraZeneca,350362
Belgium,3/19/2021,Pfizer/BioNTech,1081599
Belgium,3/26/2021,Johnson&Johnson,0
Belgium,3/26/2021,Moderna,99970
Belgium,3/26/2021,Oxford/AstraZeneca,460866
Belgium,3/26/2021,Pfizer/BioNTech,1277843
Belgium,4/2/2021,Johnson&Johnson,0
Belgium,4/2/2021,Moderna,127705
Belgium,4/2/2021,Oxford/AstraZeneca,520740
Belgium,4/2/2021,Pfizer/BioNTech,1536163
Belgium,4/9/2021,Johnson&Johnson,0
Belgium,4/9/2021,Moderna,174826
Belgium,4/9/2021,Oxford/AstraZeneca,600350
Belgium,4/9/2021,Pfizer/BioNTech,1853943
Belgium,4/16/2021,Johnson&Johnson,0
Belgium,4/16/2021,Moderna,209317
Belgium,4/16/2021,Oxford/AstraZeneca,781123
Belgium,4/16/2021,Pfizer/BioNTech,2131012
Belgium,4/23/2021,Johnson&Johnson,0
Belgium,4/23/2021,Moderna,260574
Belgium,4/23/2021,Oxford/AstraZeneca,837947
Belgium,4/23/2021,Pfizer/BioNTech,2447745
Belgium,4/30/2021,Johnson&Johnson,2967
Belgium,4/30/2021,Moderna,287549
Belgium,4/30/2021,Oxford/AstraZeneca,903322
Belgium,4/30/2021,Pfizer/BioNTech,2803247
Belgium,5/7/2021,Johnson&Johnson,23788
Belgium,5/7/2021,Moderna,345277
Belgium,5/7/2021,Oxford/AstraZeneca,1005918
Belgium,5/7/2021,Pfizer/BioNTech,3354917
Belgium,5/14/2021,Johnson&Johnson,29457
Belgium,5/14/2021,Moderna,399683
Belgium,5/14/2021,Oxford/AstraZeneca,1098798
Belgium,5/14/2021,Pfizer/BioNTech,3806090
Belgium,5/21/2021,Johnson&Johnson,49809
Belgium,5/21/2021,Moderna,501385
Belgium,5/21/2021,Oxford/AstraZeneca,1365514
Belgium,5/21/2021,Pfizer/BioNTech,4174741
Belgium,5/28/2021,Johnson&Johnson,73476
Belgium,5/28/2021,Moderna,575684
Belgium,5/28/2021,Oxford/AstraZeneca,1465247
Belgium,5/28/2021,Pfizer/BioNTech,4616262
Belgium,6/4/2021,Johnson&Johnson,97215
Belgium,6/4/2021,Moderna,651865
Belgium,6/4/2021,Oxford/AstraZeneca,1568440
Belgium,6/4/2021,Pfizer/BioNTech,5314522
Belgium,6/11/2021,Johnson&Johnson,143212
Belgium,6/11/2021,Moderna,738104
Belgium,6/11/2021,Oxford/AstraZeneca,1755274
Belgium,6/11/2021,Pfizer/BioNTech,6067465
Belgium,6/18/2021,Johnson&Johnson,212516
Belgium,6/18/2021,Moderna,844328
Belgium,6/18/2021,Oxford/AstraZeneca,1890040
Belgium,6/18/2021,Pfizer/BioNTech,6779715
Belgium,6/25/2021,Johnson&Johnson,243368
Belgium,6/25/2021,Moderna,956824
Belgium,6/25/2021,Oxford/AstraZeneca,1959042
Belgium,6/25/2021,Pfizer/BioNTech,7438933
Belgium,7/2/2021,Johnson&Johnson,266744
Belgium,7/2/2021,Moderna,1040286
Belgium,7/2/2021,Oxford/AstraZeneca,2058767
Belgium,7/2/2021,Pfizer/BioNTech,7906815
Belgium,7/9/2021,Johnson&Johnson,281718
Belgium,7/9/2021,Moderna,1101755
Belgium,7/9/2021,Oxford/AstraZeneca,2285709
Belgium,7/9/2021,Pfizer/BioNTech,8439926
Belgium,7/16/2021,Johnson&Johnson,299627
Belgium,7/16/2021,Moderna,1156360
Belgium,7/16/2021,Oxford/AstraZeneca,2439996
Belgium,7/16/2021,Pfizer/BioNTech,8946057
Belgium,7/23/2021,Johnson&Johnson,310098
Belgium,7/23/2021,Moderna,1209795
Belgium,7/23/2021,Oxford/AstraZeneca,2546136
Belgium,7/23/2021,Pfizer/BioNTech,9497268
Belgium,7/30/2021,Johnson&Johnson,319128
Belgium,7/30/2021,Moderna,1240612
Belgium,7/30/2021,Oxford/AstraZeneca,2637397
Belgium,7/30/2021,Pfizer/BioNTech,10005055
Belgium,8/6/2021,Johnson&Johnson,327927
Belgium,8/6/2021,Moderna,1263971
Belgium,8/6/2021,Oxford/AstraZeneca,2697726
Belgium,8/6/2021,Pfizer/BioNTech,10362496
Belgium,8/13/2021,Johnson&Johnson,334786
Belgium,8/13/2021,Moderna,1281175
Belgium,8/13/2021,Oxford/AstraZeneca,2810331
Belgium,8/13/2021,Pfizer/BioNTech,10510242
Belgium,8/20/2021,Johnson&Johnson,337333
Belgium,8/20/2021,Moderna,1287377
Belgium,8/20/2021,Oxford/AstraZeneca,2816588
Belgium,8/20/2021,Pfizer/BioNTech,10555461
Bulgaria,1/1/2021,Pfizer/BioNTech,0
Bulgaria,1/8/2021,Moderna,0
Bulgaria,1/8/2021,Pfizer/BioNTech,13473
Bulgaria,1/15/2021,Moderna,491
Bulgaria,1/15/2021,Pfizer/BioNTech,17962
Bulgaria,1/22/2021,Moderna,843
Bulgaria,1/22/2021,Pfizer/BioNTech,25300
Bulgaria,1/29/2021,Moderna,1053
Bulgaria,1/29/2021,Pfizer/BioNTech,40072
Bulgaria,2/5/2021,Moderna,2207
Bulgaria,2/5/2021,Oxford/AstraZeneca,10
Bulgaria,2/5/2021,Pfizer/BioNTech,54821
Bulgaria,2/12/2021,Moderna,3333
Bulgaria,2/12/2021,Oxford/AstraZeneca,2035
Bulgaria,2/12/2021,Pfizer/BioNTech,70020
Bulgaria,2/19/2021,Moderna,6446
Bulgaria,2/19/2021,Oxford/AstraZeneca,28947
Bulgaria,2/19/2021,Pfizer/BioNTech,83960
Bulgaria,2/26/2021,Moderna,10475
Bulgaria,2/26/2021,Oxford/AstraZeneca,97630
Bulgaria,2/26/2021,Pfizer/BioNTech,104340
Bulgaria,3/5/2021,Moderna,14820
Bulgaria,3/5/2021,Oxford/AstraZeneca,143932
Bulgaria,3/5/2021,Pfizer/BioNTech,129880
Bulgaria,3/12/2021,Moderna,16988
Bulgaria,3/12/2021,Oxford/AstraZeneca,174209
Bulgaria,3/12/2021,Pfizer/BioNTech,147683
Bulgaria,3/19/2021,Moderna,20921
Bulgaria,3/19/2021,Oxford/AstraZeneca,179029
Bulgaria,3/19/2021,Pfizer/BioNTech,168956
Bulgaria,3/26/2021,Moderna,34004
Bulgaria,3/26/2021,Oxford/AstraZeneca,206835
Bulgaria,3/26/2021,Pfizer/BioNTech,195704
Bulgaria,4/2/2021,Moderna,44809
Bulgaria,4/2/2021,Oxford/AstraZeneca,230180
Bulgaria,4/2/2021,Pfizer/BioNTech,228583
Bulgaria,4/9/2021,Moderna,59160
Bulgaria,4/9/2021,Oxford/AstraZeneca,238387
Bulgaria,4/9/2021,Pfizer/BioNTech,275118
Bulgaria,4/16/2021,Johnson&Johnson,0
Bulgaria,4/16/2021,Moderna,74318
Bulgaria,4/16/2021,Oxford/AstraZeneca,241707
Bulgaria,4/16/2021,Pfizer/BioNTech,322422
Bulgaria,4/23/2021,Johnson&Johnson,0
Bulgaria,4/23/2021,Moderna,93241
Bulgaria,4/23/2021,Oxford/AstraZeneca,247383
Bulgaria,4/23/2021,Pfizer/BioNTech,382650
Bulgaria,4/30/2021,Johnson&Johnson,0
Bulgaria,4/30/2021,Moderna,108865
Bulgaria,4/30/2021,Oxford/AstraZeneca,263756
Bulgaria,4/30/2021,Pfizer/BioNTech,452036
Bulgaria,5/7/2021,Johnson&Johnson,0
Bulgaria,5/7/2021,Moderna,122688
Bulgaria,5/7/2021,Oxford/AstraZeneca,300451
Bulgaria,5/7/2021,Pfizer/BioNTech,514960
Bulgaria,5/14/2021,Johnson&Johnson,398
Bulgaria,5/14/2021,Moderna,145571
Bulgaria,5/14/2021,Oxford/AstraZeneca,364379
Bulgaria,5/14/2021,Pfizer/BioNTech,606439
Bulgaria,5/21/2021,Johnson&Johnson,2629
Bulgaria,5/21/2021,Moderna,165767
Bulgaria,5/21/2021,Oxford/AstraZeneca,401422
Bulgaria,5/21/2021,Pfizer/BioNTech,690983
Bulgaria,5/28/2021,Johnson&Johnson,6276
Bulgaria,5/28/2021,Moderna,181502
Bulgaria,5/28/2021,Oxford/AstraZeneca,411232
Bulgaria,5/28/2021,Pfizer/BioNTech,754371
Bulgaria,6/4/2021,Johnson&Johnson,11142
Bulgaria,6/4/2021,Moderna,190457
Bulgaria,6/4/2021,Oxford/AstraZeneca,435357
Bulgaria,6/4/2021,Pfizer/BioNTech,827459
Bulgaria,6/11/2021,Johnson&Johnson,17987
Bulgaria,6/11/2021,Moderna,202784
Bulgaria,6/11/2021,Oxford/AstraZeneca,457900
Bulgaria,6/11/2021,Pfizer/BioNTech,898271
Bulgaria,6/18/2021,Johnson&Johnson,25928
Bulgaria,6/18/2021,Moderna,216421
Bulgaria,6/18/2021,Oxford/AstraZeneca,467870
Bulgaria,6/18/2021,Pfizer/BioNTech,949706
Bulgaria,6/25/2021,Johnson&Johnson,33099
Bulgaria,6/25/2021,Moderna,225728
Bulgaria,6/25/2021,Oxford/AstraZeneca,470990
Bulgaria,6/25/2021,Pfizer/BioNTech,997114
Bulgaria,7/2/2021,Johnson&Johnson,39994
Bulgaria,7/2/2021,Moderna,234047
Bulgaria,7/2/2021,Oxford/AstraZeneca,472860
Bulgaria,7/2/2021,Pfizer/BioNTech,1042927
Bulgaria,7/9/2021,Johnson&Johnson,48424
Bulgaria,7/9/2021,Moderna,241862
Bulgaria,7/9/2021,Oxford/AstraZeneca,474021
Bulgaria,7/9/2021,Pfizer/BioNTech,1086383
Bulgaria,7/16/2021,Johnson&Johnson,58430
Bulgaria,7/16/2021,Moderna,247955
Bulgaria,7/16/2021,Oxford/AstraZeneca,474812
Bulgaria,7/16/2021,Pfizer/BioNTech,1127926
Bulgaria,7/23/2021,Johnson&Johnson,68108
Bulgaria,7/23/2021,Moderna,252761
Bulgaria,7/23/2021,Oxford/AstraZeneca,475720
Bulgaria,7/23/2021,Pfizer/BioNTech,1167720
Bulgaria,7/30/2021,Johnson&Johnson,78440
Bulgaria,7/30/2021,Moderna,258066
Bulgaria,7/30/2021,Oxford/AstraZeneca,476371
Bulgaria,7/30/2021,Pfizer/BioNTech,1212406
Bulgaria,8/6/2021,Johnson&Johnson,89960
Bulgaria,8/6/2021,Moderna,263844
Bulgaria,8/6/2021,Oxford/AstraZeneca,476700
Bulgaria,8/6/2021,Pfizer/BioNTech,1256750
Bulgaria,8/13/2021,Johnson&Johnson,102550
Bulgaria,8/13/2021,Moderna,269269
Bulgaria,8/13/2021,Oxford/AstraZeneca,477025
Bulgaria,8/13/2021,Pfizer/BioNTech,1298259
Bulgaria,8/20/2021,Johnson&Johnson,112434
Bulgaria,8/20/2021,Moderna,269269
Bulgaria,8/20/2021,Oxford/AstraZeneca,477025
Bulgaria,8/20/2021,Pfizer/BioNTech,1298259
Chile,12/24/2020,Pfizer/BioNTech,420
Chile,12/25/2020,Pfizer/BioNTech,5201
Chile,12/26/2020,Pfizer/BioNTech,8344
Chile,12/27/2020,Pfizer/BioNTech,8655
Chile,12/28/2020,Pfizer/BioNTech,8655
Chile,12/29/2020,Pfizer/BioNTech,8655
Chile,12/30/2020,Pfizer/BioNTech,8655
Chile,12/31/2020,Pfizer/BioNTech,8655
Chile,1/1/2021,Pfizer/BioNTech,8655
Chile,1/2/2021,Pfizer/BioNTech,8655
Chile,1/3/2021,Pfizer/BioNTech,8655
Chile,1/4/2021,Pfizer/BioNTech,9060
Chile,1/5/2021,Pfizer/BioNTech,10503
Chile,1/6/2021,Pfizer/BioNTech,10708
Chile,1/7/2021,Pfizer/BioNTech,10708
Chile,1/8/2021,Pfizer/BioNTech,10708
Chile,1/9/2021,Pfizer/BioNTech,10708
Chile,1/10/2021,Pfizer/BioNTech,10708
Chile,1/11/2021,Pfizer/BioNTech,10708
Chile,1/12/2021,Pfizer/BioNTech,10708
Chile,1/13/2021,Pfizer/BioNTech,11741
Chile,1/14/2021,Pfizer/BioNTech,18657
Chile,1/15/2021,Pfizer/BioNTech,22088
Chile,1/16/2021,Pfizer/BioNTech,22178
Chile,1/17/2021,Pfizer/BioNTech,22178
Chile,1/18/2021,Pfizer/BioNTech,33229
Chile,1/19/2021,Pfizer/BioNTech,52590
Chile,1/20/2021,Pfizer/BioNTech,61899
Chile,1/21/2021,Pfizer/BioNTech,64956
Chile,1/22/2021,Pfizer/BioNTech,65372
Chile,1/23/2021,Pfizer/BioNTech,65372
Chile,1/24/2021,Pfizer/BioNTech,65372
Chile,1/25/2021,Pfizer/BioNTech,66792
Chile,1/26/2021,Pfizer/BioNTech,67408
Chile,1/27/2021,Pfizer/BioNTech,67443
Chile,1/28/2021,Pfizer/BioNTech,67443
Chile,1/29/2021,Pfizer/BioNTech,67448
Chile,1/30/2021,Pfizer/BioNTech,67449
Chile,1/31/2021,Pfizer/BioNTech,67449
Chile,2/1/2021,Pfizer/BioNTech,67449
Chile,2/2/2021,Pfizer/BioNTech,67455
Chile,2/2/2021,Sinovac,13183
Chile,2/3/2021,Pfizer/BioNTech,67455
Chile,2/3/2021,Sinovac,183557
Chile,2/4/2021,Pfizer/BioNTech,69583
Chile,2/4/2021,Sinovac,357567
Chile,2/5/2021,Pfizer/BioNTech,70271
Chile,2/5/2021,Sinovac,526305
Chile,2/6/2021,Pfizer/BioNTech,70276
Chile,2/6/2021,Sinovac,554155
Chile,2/7/2021,Pfizer/BioNTech,70278
Chile,2/7/2021,Sinovac,562791
Chile,2/8/2021,Pfizer/BioNTech,82077
Chile,2/8/2021,Sinovac,784274
Chile,2/9/2021,Pfizer/BioNTech,101556
Chile,2/9/2021,Sinovac,1026664
Chile,2/10/2021,Pfizer/BioNTech,110001
Chile,2/10/2021,Sinovac,1298997
Chile,2/11/2021,Pfizer/BioNTech,113075
Chile,2/11/2021,Sinovac,1550196
Chile,2/12/2021,Pfizer/BioNTech,113435
Chile,2/12/2021,Sinovac,1779305
Chile,2/13/2021,Pfizer/BioNTech,113468
Chile,2/13/2021,Sinovac,1808827
Chile,2/14/2021,Pfizer/BioNTech,113468
Chile,2/14/2021,Sinovac,1813294
Chile,2/15/2021,Pfizer/BioNTech,113469
Chile,2/15/2021,Sinovac,2079161
Chile,2/16/2021,Pfizer/BioNTech,113481
Chile,2/16/2021,Sinovac,2299199
Chile,2/17/2021,Pfizer/BioNTech,113481
Chile,2/17/2021,Sinovac,2487240
Chile,2/18/2021,Pfizer/BioNTech,113484
Chile,2/18/2021,Sinovac,2642501
Chile,2/19/2021,Pfizer/BioNTech,113484
Chile,2/19/2021,Sinovac,2784627
Chile,2/20/2021,Pfizer/BioNTech,113486
Chile,2/20/2021,Sinovac,2794267
Chile,2/21/2021,Pfizer/BioNTech,113486
Chile,2/21/2021,Sinovac,2795429
Chile,2/22/2021,Pfizer/BioNTech,125576
Chile,2/22/2021,Sinovac,2891466
Chile,2/23/2021,Pfizer/BioNTech,150420
Chile,2/23/2021,Sinovac,2960862
Chile,2/24/2021,Pfizer/BioNTech,178940
Chile,2/24/2021,Sinovac,3018617
Chile,2/25/2021,Pfizer/BioNTech,212657
Chile,2/25/2021,Sinovac,3070981
Chile,2/26/2021,Pfizer/BioNTech,242388
Chile,2/26/2021,Sinovac,3119646
Chile,2/27/2021,Pfizer/BioNTech,248713
Chile,2/27/2021,Sinovac,3123368
Chile,2/28/2021,Pfizer/BioNTech,248715
Chile,2/28/2021,Sinovac,3123721
Chile,3/1/2021,Pfizer/BioNTech,263620
Chile,3/1/2021,Sinovac,3246378
Chile,3/2/2021,Pfizer/BioNTech,294543
Chile,3/2/2021,Sinovac,3386831
Chile,3/3/2021,Pfizer/BioNTech,313111
Chile,3/3/2021,Sinovac,3680202
Chile,3/4/2021,Pfizer/BioNTech,322221
Chile,3/4/2021,Sinovac,3981681
Chile,3/5/2021,Pfizer/BioNTech,327977
Chile,3/5/2021,Sinovac,4273813
Chile,3/6/2021,Pfizer/BioNTech,328321
Chile,3/6/2021,Sinovac,4307249
Chile,3/7/2021,Pfizer/BioNTech,328427
Chile,3/7/2021,Sinovac,4315106
Chile,3/8/2021,Pfizer/BioNTech,341027
Chile,3/8/2021,Sinovac,4653185
Chile,3/9/2021,Pfizer/BioNTech,378611
Chile,3/9/2021,Sinovac,4992183
Chile,3/10/2021,Pfizer/BioNTech,420223
Chile,3/10/2021,Sinovac,5351966
Chile,3/11/2021,Pfizer/BioNTech,465966
Chile,3/11/2021,Sinovac,5723341
Chile,3/12/2021,Pfizer/BioNTech,483379
Chile,3/12/2021,Sinovac,6080343
Chile,3/13/2021,Pfizer/BioNTech,483932
Chile,3/13/2021,Sinovac,6130248
Chile,3/14/2021,Pfizer/BioNTech,483932
Chile,3/14/2021,Sinovac,6136835
Chile,3/15/2021,Pfizer/BioNTech,507852
Chile,3/15/2021,Sinovac,6543228
Chile,3/16/2021,Pfizer/BioNTech,561400
Chile,3/16/2021,Sinovac,6899969
Chile,3/17/2021,Pfizer/BioNTech,616943
Chile,3/17/2021,Sinovac,7211745
Chile,3/18/2021,Pfizer/BioNTech,666544
Chile,3/18/2021,Sinovac,7497126
Chile,3/19/2021,Pfizer/BioNTech,689716
Chile,3/19/2021,Sinovac,7768487
Chile,3/20/2021,Pfizer/BioNTech,691636
Chile,3/20/2021,Sinovac,7800763
Chile,3/21/2021,Pfizer/BioNTech,691646
Chile,3/21/2021,Sinovac,7804776
Chile,3/22/2021,Pfizer/BioNTech,727741
Chile,3/22/2021,Sinovac,8037453
Chile,3/23/2021,Pfizer/BioNTech,787673
Chile,3/23/2021,Sinovac,8218419
Chile,3/24/2021,Pfizer/BioNTech,840576
Chile,3/24/2021,Sinovac,8384615
Chile,3/25/2021,Pfizer/BioNTech,895175
Chile,3/25/2021,Sinovac,8542720
Chile,3/26/2021,Pfizer/BioNTech,933615
Chile,3/26/2021,Sinovac,8721985
Chile,3/27/2021,Pfizer/BioNTech,935650
Chile,3/27/2021,Sinovac,8735642
Chile,3/28/2021,Pfizer/BioNTech,935650
Chile,3/28/2021,Sinovac,8737034
Chile,3/29/2021,Pfizer/BioNTech,957702
Chile,3/29/2021,Sinovac,8981761
Chile,3/30/2021,Pfizer/BioNTech,1015199
Chile,3/30/2021,Sinovac,9202953
Chile,3/31/2021,Pfizer/BioNTech,1061376
Chile,3/31/2021,Sinovac,9437112
Chile,4/1/2021,Pfizer/BioNTech,1085168
Chile,4/1/2021,Sinovac,9716665
Chile,4/2/2021,Pfizer/BioNTech,1085393
Chile,4/2/2021,Sinovac,9723477
Chile,4/3/2021,Pfizer/BioNTech,1085586
Chile,4/3/2021,Sinovac,9726510
Chile,4/4/2021,Pfizer/BioNTech,1085589
Chile,4/4/2021,Sinovac,9727628
Chile,4/5/2021,Pfizer/BioNTech,1116748
Chile,4/5/2021,Sinovac,9981298
Chile,4/6/2021,Pfizer/BioNTech,1199554
Chile,4/6/2021,Sinovac,10138326
Chile,4/7/2021,Pfizer/BioNTech,1288852
Chile,4/7/2021,Sinovac,10282351
Chile,4/8/2021,Pfizer/BioNTech,1367137
Chile,4/8/2021,Sinovac,10443634
Chile,4/9/2021,Pfizer/BioNTech,1416394
Chile,4/9/2021,Sinovac,10613357
Chile,4/10/2021,Pfizer/BioNTech,1424223
Chile,4/10/2021,Sinovac,10631558
Chile,4/11/2021,Pfizer/BioNTech,1424729
Chile,4/11/2021,Sinovac,10633505
Chile,4/12/2021,Pfizer/BioNTech,1489529
Chile,4/12/2021,Sinovac,10805743
Chile,4/13/2021,Pfizer/BioNTech,1577765
